"","Symbol","Name","LastSale","Sector","industry","Price/Book","P/E Ratio","Price/EPS Estimate Next Year","Dividend Yield","Market Capitalization","Shares Outstanding","Book Value","Earnings End Time","Earnings Start Time"
"3239","JMU","JMU Limited",0.95,"Technology","EDP Services",0.38352847,NA,NA,NA,7791102,8201160,2.477,1556541000,1556022600
"3240","JBSS","John B. Sanfilippo & Son, Inc.",68.72,"Consumer Non-Durables","Specialty Foods",3.3505607,24.622002,22.531149,0.007915947,782500928,8789330,20.51,1493409600,1493064000
"3241","JOUT","Johnson Outdoors Inc.",66.35,"Consumer Non-Durables","Recreational Products/Toys",2.3660936,15.17612,13.596311,0.007921998,661589120,8759600,28.042,1557145800,1556800200
"3242","JNCE","Jounce Therapeutics, Inc.",4.65,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",1.4701233,NA,-3.5769234,NA,152057328,32700500,3.163,1533988800,1533812340
"3243","KALU","Kaiser Aluminum Corporation",108.88,"Capital Goods","Metal Fabrications",2.3550277,20.051565,14.214099,0.020551698,1743680512,16014700,46.233,1556539200,1556017140
"3244","KALA","Kala Pharmaceuticals, Inc.",8.89,"Health Care","Major Pharmaceuticals",3.9883356,NA,-3.7196653,NA,300443776,33795700,2.229,NA,NA
"3245","KALV","KalVista Pharmaceuticals, Inc.",23.39,"Health Care","Major Pharmaceuticals",3.767112,NA,-11.085308,NA,402909120,17225700,6.209,1552910400,1552561140
"3246","KMDA","Kamada Ltd.",6.18,"Health Care","Major Pharmaceuticals",2.2290022,11.290909,9.857143,NA,240219568,39850000,2.786,NA,NA
"3247","KNDI","Kandi Technologies Group, Inc.",7.75,"Capital Goods","Auto Manufacturing",1.7326179,96.875,NA,NA,398984736,51481900,4.473,1552912200,1552566600
"3248","KPTI","Karyopharm Therapeutics Inc.",4.18,"Health Care","Major Pharmaceuticals",1.3882431,NA,-1.5539032,NA,253759008,60707900,3.011,1552912200,1552480200
"3249","KZIA","Kazia Therapeutics Limited",3.6025,"Capital Goods","Miscellaneous",1.2253401,NA,NA,NA,22512022,48409600,2.94,NA,NA
"3250","KBLM","KBL Merger Corp. IV",10.3,"Finance","Business Services",8.487603,201.37256,NA,NA,152791936,14877500,1.21,NA,NA
"3251","KBSF","KBS Fashion Group Limited",3.78,"Consumer Non-Durables","Apparel",0.12337662,NA,NA,NA,8468300,2228500,30.8,NA,NA
"3252","KRNY","Kearny Financial",13.63,"Finance","Savings Institutions",1.042607,35.128864,27.816326,0.011773363,1224524672,89840400,13.073,1556568000,1556222400
"3253","KELYA","Kelly Services, Inc.",24.2,"Technology","Professional Services",0.81142706,41.72414,8.705036,0.012432657,941179200,35440000,29.824,1557750600,1557318600
"3254","KMPH","KemPharm, Inc.",2.11,"Health Care","Major Pharmaceuticals",-0.8386327,NA,-3.459016,NA,55820892,26455400,-2.516,1534190400,1533758400
"3255","KFFB","Kentucky First Federal Bancorp",8.16,"Finance","Savings Institutions",1.0157028,142.98245,NA,0.049937576,68250704,8374320,8.024,NA,NA
"3256","KEQU","Kewaunee Scientific Corporation",25.2,"Capital Goods","Medical Specialities",1.3891221,16.32653,10.333333,0.030000001,68059136,2744320,17.853,1551474000,1551128400
"3257","KTCC","Key Tronic Corporation",6.5,"Technology","Computer peripheral equipment",0.56561285,42.67974,NA,NA,70260840,10759700,11.545,NA,NA
"3258","KZR","Kezar Life Sciences, Inc.",20.29,"Health Care","Major Pharmaceuticals",3.396953,NA,-9.437209,NA,387705408,19108200,5.973,NA,NA
"3259","KFRC","Kforce, Inc.",36.94,"Technology","Professional Services",5.423579,16.06087,13.145907,0.016211836,906071680,24528200,6.811,1556884800,1556535540
"3260","KE","Kimball Electronics, Inc.",15.56,"Technology","Electrical Products",1.1348553,14.447539,17.288889,NA,397489536,25545600,13.711,1509998400,1509480000
"3261","KBAL","Kimball International, Inc.",15.64,"Consumer Durables","Home Furnishings",2.8576648,16.12371,18.4,0.01912046,574171008,36711700,5.473,1509710400,1509361140
"3262","KIN","Kindred Biosciences, Inc.",10.9,"Health Care","Major Pharmaceuticals",3.5297925,NA,-7.622378,NA,421425600,38662900,3.088,1520283600,1519765200
"3263","KGJI","Kingold Jewelry Inc.",0.849,"Miscellaneous","Business Services",0.15842506,1.1335113,NA,NA,56130360,66113500,5.359,1495224000,1495137600
"3264","KINS","Kingstone Companies, Inc",16.96,"Finance","Property-Casualty Insurers",1.9866463,31.291512,11.69655,0.022605592,182208048,10743400,8.537,1502740800,1502395200
"3265","KNSA","Kiniksa Pharmaceuticals, Ltd.",18.23,"Health Care","Major Pharmaceuticals",2.8276718,NA,-6.0364237,NA,987056064,18452200,6.447,NA,NA
"3266","KNSL","Kinsale Capital Group, Inc.",66.66,"Finance","Property-Casualty Insurers",5.338352,42.730774,27.208164,0.0041941283,1415038592,21227700,12.487,NA,NA
"3267","KIRK","Kirkland&#39;s, Inc.",10.15,"Consumer Services","Other Specialty Stores",1.2610261,64.2405,18.125,NA,150810720,14858200,8.049,1552912200,1552566600
"3268","KTOV","Kitov Pharma Ltd.",1.08,"Health Care","Major Pharmaceuticals",1.6438357,NA,-2.7,NA,21484332,12405900,0.657,NA,NA
"3269","KLAC","KLA-Tencor Corporation",115.78,"Capital Goods","Electronic Components",10.969209,12.681271,12.290871,0.024590874,18949017600,163664000,10.555,1556539200,1556103540
"3270","KLXE","KLX Energy Services Holdings, Inc. ",26.15,"Energy","Oilfield Services/Equipment",1.7762532,106.30081,8.49026,NA,584771520,22362200,14.722,NA,NA
"3271","KOD","Kodiak Sciences Inc",7.07,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",-0.5955189,NA,-3.8010752,NA,266945536,37757500,-11.872,NA,NA
